M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
gene 54,0,0,0,383.810865097261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.30937847502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.175238318059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.807807531389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.517799981864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 56,0,138.12489886743,0,0,0,0,229.982515570014,0,0,0,0,0,315.796956115575,0,0,304.134664314334,0,327.52727167426,0,0,0,0,0,0,0,0,0,0,221.084704463783,0,0,0,0,0,0,0,0,365.551312096316,0,224.30937847502,0,0,0,0,0,0,0,0,0,231.735399839764,0,0,0,0,0,0,201.844752993538,0,0,0,277.085048909376,0,0,0,202.789377098837,0,0,0,217.181389128346,0,0,0,423.298500605472,0,0,0,0,0,0,0,0,0,0
gene 57,0,0,0,0,0,349.232509363034,0,0,0,0,0,188.503031074248,347.883092386286,0,296.943534887247,0,237.858893010032,264.281080036598,0,0,0,0,0,0,0,263.938181425906,312.641804784015,0,221.084704463783,228.460355860848,128.216808789051,272.2684273632,0,0,0,330.711278980325,0,0,196.261139846616,177.276104483276,0,340.293530675917,0,0,0,177.484771285837,288.80039639186,278.109891637889,0,0,216.512308960418,0,0,0,0,269.891516996954,201.844752993538,0,0,0,0,0,0,357.519339338414,304.657178048857,0,0,0,0,0,0,377.954267093283,0,387.829364266676,161.843100571576,0,0,0,225.067947245205,0,198.13929335806,0,0
gene 58,253.137488832488,138.12489886743,360.43181136912,0,0,0,0,0,0,0,626.015392332736,332.42861002399,388.548369122494,0,442.454661967979,0,266.513330267257,0,285.799098953452,252.563260644971,0,320.986267801029,0,475.980652883427,238.176795919776,263.938181425906,386.00452721854,382.139783399246,329.018871116942,335.50914948929,165.396177066601,272.2684273632,336.785793129232,379.698859363095,389.592548540569,241.445483016068,350.21306041997,365.551312096316,284.225163657526,272.893437093106,346.529092199912,355.211513801218,237.143465676178,307.843833072646,304.806059933049,318.799258454207,176.322479597547,300.455389943734,0,0,294.524733642151,0,0,465.775345630779,298.26039064659,0,285.304110219513,273.673165747647,0,462.200333273987,473.025006028645,324.442232008213,0,436.08607229267,304.657178048857,198.795821271718,0,366.423409194378,0,0,425.495860547596,0,323.881592846336,295.345083688609,120.218227301998,274.768788276462,326.292296770769,370.283414809626,243.60335597934,335.445182096205,400.734467106351,0,373.675996643117
gene 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.886903175554,0,304.888107641679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 60,0,0,0,383.810865097261,0,0,0,0,0,0,0,0,0,0,0,304.134664314334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.252121409941,0,0,0,0,0,0,0,0,0,344.72264827499,0,0,0,0,0,0,0,0,0,0,256.159359970651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.789087961852
gene 61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.636619570738,0,0,0,0,0,206.886903175554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.977627257365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.306041026869,0,293.015940760214,156.468681569191,0,0,0,0
gene 62,0,0,0,0,0,0,0,0,0,0,0,146.722429446298,0,0,0,0,253.583281609682,0,150.223262699853,0,304.692976987319,193.529182665549,0,0,304.888107641679,0,0,0,0,0,128.216808789051,0,0,0,0,297.390220027667,0,0,251.092562498153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.001881986979,0,0,0,0,0,365.440493051789,0,0,0,0,0,217.181389128346,0,265.724161762501,0,0,0,0,0,0,0,0,0,0,0,0
gene 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 64,198.230550020921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.134664314334,0,0,0,0,0,193.529182665549,289.212226237683,277.282158149031,238.176795919776,0,0,0,0,0,0,0,336.785793129232,0,0,0,0,0,0,252.597779100809,0,0,237.143465676178,216.096901384542,0,0,0,0,0,307.432739532442,0,0,0,0,0,0,254.001881986979,0,0,0,0,0,0,541.955223487218,0,0,0,0,0,0,326.642350846685,318.378802497965,0,0,0,0,0,0,156.468681569191,0,0,302.320295244679,0
gene 65,0,138.12489886743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.809751599052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.085048909376,0,0,0,0,0,0,0,0,0,0,0,0,353.478852368006,0,0,0,0,0,0,0,0,0
gene 66,0,0,0,0,0,0,0,0,0,0,0,0,0,371.738969547604,208.461323100732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.440704742705,0,0,279.140601198114,0,0,0,0,0,0,0,0,280.417001197333,0,0,0,0,136.981735043308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.789377098837,0,0,0,0,0,0,0,0,0,206.429384832784,0,0,0,0,0,0,0,0
gene 67,0,222.25122240477,0,0,0,0,0,0,0,0,0,0,0,0,0,304.134664314334,0,0,0,162.445201571458,0,0,0,0,0,0,0,0,170.172947736864,0,165.396177066601,0,0,0,0,0,0,0,0,177.276104483276,0,181.535810211439,187.534920913167,0,0,0,0,278.109891637889,0,307.432739532442,0,0,466.487775254339,0,276.354672958093,0,0,0,0,0,0,286.197275127321,446.80629951697,0,0,0,0,0,0,0,0,0,360.335992710007,353.478852368006,0,182.694642578873,0,0,0,0,0,0,0
gene 68,0,0,0,0,0,0,0,0,274.128785320885,705.272069751369,0,0,261.609566106696,544.887618746953,208.461323100732,0,190.01780511454,0,216.613248748589,0,0,0,0,417.762762129545,0,243.689553507719,0,0,221.084704463783,281.42156098428,204.180312356396,0,0,0,389.592548540569,241.445483016068,0,0,0,0,0,181.535810211439,0,0,269.614286615497,177.484771285837,176.322479597547,0,0,0,0,0,466.487775254339,0,0,0,0,0,224.978831516386,0,277.085048909376,286.197275127321,0,0,0,198.795821271718,285.49296902178,0,0,0,0,377.954267093283,0,238.534537820057,0,182.694642578873,0,236.079823293688,0,335.445182096205,198.13929335806,0,249.332495940303
gene 69,198.230550020921,138.12489886743,0,0,503.143990558825,349.232509363034,0,0,0,0,0,0,261.609566106696,0,296.943534887247,418.733447979044,0,0,150.223262699853,0,0,0,0,0,0,168.828053561003,0,178.792326836104,221.084704463783,0,0,0,279.140601198114,0,0,0,0,365.551312096316,0,177.276104483276,247.723341195641,0,288.372755641253,216.096901384542,0,0,0,0,0,0,0,366.956674384658,0,334.655794176542,245.804797896866,0,0,0,224.978831516386,313.508684754421,0,0,0,0,0,0,0,0,266.451964712608,323.22463149049,265.724161762501,0,0,238.534537820057,0,228.122153793122,0,0,0,0,0,0,194.789087961852
gene 70,0,138.12489886743,0,0,0,0,0,0,0,0,0,0,0,371.738969547604,208.461323100732,0,0,0,0,162.445201571458,197.282417000016,0,0,0,0,0,0,178.792326836104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.180806352834,403.819588264368,0,216.512308960418,0,0,0,0,0,0,0,0,0,0,205.896936099827,0,0,0,0,0,0,0,0,265.724161762501,0,0,0,0,182.694642578873,0,0,0,424.092724655954,247.368674118141,0,0
gene 71,198.230550020921,222.25122240477,0,0,0,0,0,333.729326977727,0,0,0,0,0,0,208.461323100732,0,0,0,0,0,223.835220833551,0,0,346.577350872907,0,0,0,178.792326836104,170.172947736864,0,165.396177066601,338.869408770274,223.055694599317,0,389.592548540569,0,0,0,196.261139846616,0,0,0,237.143465676178,348.145866934151,0,177.484771285837,0,0,0,0,0,0,0,0,194.940991154112,299.043246724718,0,180.200185903583,0,0,0,0,0,0,202.789377098837,0,0,0,0,0,0,413.093574509636,0,0,0,0,0,0,0,335.445182096205,327.828827038114,377.287167207512,0
gene 72,0,0,0,0,0,0,0,0,0,0,0,146.722429446298,0,371.738969547604,0,0,0,0,260.089679973792,0,0,0,0,0,0,0,0,0,252.067421263456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.977627257365,0,0,0,163.774078233922,0,0,0,416.717915958976,351.551294547512,0,0,0,0,0,0,0,0,0,202.789377098837,0,220.219652384387,0,0,0,0,0,360.335992710007,0,0,0,326.292296770769,0,0,0,0,0,0
gene 73,0,0,0,0,0,0,0,0,0,0,0,0,0,508.435754248076,0,0,0,0,216.613248748589,0,0,0,311.280623194686,0,0,168.828053561003,0,0,0,228.460355860848,187.945897675754,0,0,0,389.592548540569,0,0,0,0,0,0,0,0,0,304.806059933049,0,0,0,0,0,0,0,0,0,0,220.829097576407,0,0,0,313.508684754421,0,0,0,0,0,0,0,307.519343987219,0,0,0,0,0,0,0,0,470.636245197378,0,0,0,0,0,0
gene 74,0,0,0,0,0,0,0,0,0,0,0,146.722429446298,0,0,0,0,0,0,0,0,0,0,0,0,374.196062526102,0,0,0,252.067421263456,228.460355860848,0,0,223.055694599317,278.971438037384,0,0,350.21306041997,0,0,0,0,230.151356002881,0,266.405780421956,0,223.411506788147,176.322479597547,0,315.97103103233,0,0,366.956674384658,0,416.717915958976,0,0,0,0,0,313.508684754421,0,0,365.440493051789,0,0,0,0,0,0,0,0,0,0,295.345083688609,252.666280747997,0,0,0,156.468681569191,0,0,0,249.332495940303
gene 75,0,138.12489886743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.172947736864,0,0,0,0,0,0,0,0,0,0,0,0,0,349.355567816698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.200185903583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 76,0,0,0,0,429.907476754571,0,0,0,0,444.516178005133,459.706113037734,188.503031074248,208.904495595251,0,0,0,0,0,0,162.445201571458,0,147.597149925969,258.390054246456,0,0,0,0,229.978251497235,0,0,128.216808789051,272.2684273632,0,0,389.592548540569,297.390220027667,0,0,0,288.731887375384,0,0,0,0,211.306972881006,223.411506788147,136.981735043308,0,0,0,0,0,0,0,245.804797896866,0,325.243927704504,0,279.283797089513,0,0,0,0,0,0,0,285.49296902178,0,217.181389128346,0,0,377.954267093283,262.695490975031,0,161.843100571576,0,0,0,0,0,247.368674118141,302.320295244679,194.789087961852
gene 77,0,0,0,0,0,349.232509363034,0,0,0,0,0,0,0,0,263.714182185751,0,287.036593596477,0,191.626668891664,206.711676960163,0,0,0,277.282158149031,0,168.828053561003,0,178.792326836104,291.88276913995,0,204.180312356396,407.164892631694,223.055694599317,0,603.128959734434,0,0,0,0,177.276104483276,0,0,305.071622260675,0,0,0,241.733131019118,278.109891637889,0,0,0,0,0,334.655794176542,315.34996513298,319.855245988317,0,253.881430226318,279.283797089513,313.508684754421,0,0,0,0,0,198.795821271718,0,0,217.181389128346,0,0,0,0,0,206.429384832784,0,0,327.014117593673,0,335.445182096205,247.368674118141,0,0
gene 78,0,0,0,0,0,0,0,0,0,0,0,276.391906215798,208.904495595251,371.738969547604,0,304.134664314334,0,0,150.223262699853,162.445201571458,153.437145985105,0,0,277.282158149031,238.176795919776,215.509359908345,386.00452721854,229.978251497235,318.43127351784,0,187.945897675754,338.869408770274,0,0,0,0,388.905516051878,0,0,177.276104483276,279.317289418541,0,187.534920913167,0,0,177.484771285837,241.733131019118,195.180806352834,403.819588264368,275.301868115583,0,0,586.178204129475,334.655794176542,245.804797896866,0,201.844752993538,136.61519196367,279.283797089513,0,341.257126823003,256.159359970651,365.440493051789,357.519339338414,283.128200250571,300.992019998289,0,331.861554147709,266.451964712608,0,265.724161762501,0,0,0,0,289.939912047368,0,0,199.26131680459,335.445182096205,0,0,0
gene 79,0,0,0,0,0,401.62930319525,0,0,0,0,459.706113037734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.460355860848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.484771285837,136.981735043308,0,315.97103103233,353.998454670885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.055616083811,0,0,0,0,261.318450683195,265.724161762501,0,0,0,0,0,0,0,0,0,0,0,0
gene 80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.582672264338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.673044779185,0,0,0,0,0,0,0,0
gene 81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.461323100732,0,0,0,0,0,153.437145985105,0,0,0,0,168.828053561003,312.641804784015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.774078233922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.795821271718,0,0,0,0,0,0,323.881592846336,0,0,0,0,0,0,0,0,0,0
gene 82,0,138.12489886743,0,0,0,263.934817532526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.460355860848,0,0,279.140601198114,0,0,0,0,0,0,0,0,0,0,245.351510755286,0,0,136.981735043308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.789377098837,0,0,0,0,0,0,0,0,238.534537820057,0,0,0,0,0,0,0,0,0
gene 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.212226237683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.052704526512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.609958698346,0,346.577350872907,0,0,0,0,0,0,128.216808789051,0,0,0,0,0,0,0,196.261139846616,252.597779100809,0,0,0,216.096901384542,0,0,0,0,0,0,0,500.683704019373,0,0,0,220.829097576407,0,0,0,0,0,0,0,0,335.191386803947,249.175238318059,0,0,0,0,0,0,0,0,0,0,0,0,243.60335597934,0,0,0,0
gene 85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.47140757106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.085048909376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.445182096205,0,0,0
gene 86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.006367146639,0,241.445483016068,0,0,0,288.731887375384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.891516996954,0,0,0,0,0,0,0,357.519339338414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 87,0,0,0,0,0,0,0,0,0,0,0,188.503031074248,0,457.419842653842,208.461323100732,0,0,0,0,206.711676960163,0,0,0,0,0,168.828053561003,0,315.045874045358,252.067421263456,0,165.396177066601,0,0,0,0,0,285.188017006075,0,0,0,0,230.151356002881,349.355567816698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.085048909376,0,0,0,0,0,0,217.037299676303,0,0,0,0,0,0,187.662905916879,0,0,0,0,0,0,0,249.332495940303
gene 88,198.230550020921,0,0,0,0,0,229.982515570014,0,0,0,0,0,0,0,0,0,190.01780511454,0,0,0,0,0,0,0,0,0,0,0,0,228.460355860848,165.396177066601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 89,198.230550020921,138.12489886743,0,0,0,349.232509363034,0,0,350.95318333439,0,0,0,0,0,0,304.134664314334,0,0,0,252.563260644971,0,241.89378751436,0,0,304.888107641679,348.163290731395,0,0,170.172947736864,228.460355860848,0,429.365132862645,223.055694599317,0,0,0,0,0,0,0,0,0,0,0,0,0,217.313613434699,0,0,163.774078233922,216.512308960418,0,0,0,194.940991154112,0,0,0,0,0,0,0,0,596.71109957036,0,279.364866916492,0,0,0,0,0,318.378802497965,0,295.345083688609,0,0,0,0,0,335.445182096205,0,0,0
gene 90,198.230550020921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.01780511454,0,0,0,0,0,0,0,238.176795919776,0,0,0,221.084704463783,0,204.180312356396,0,0,278.971438037384,0,0,0,365.551312096316,0,0,195.252121409941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.978831516386,0,0,0,0,0,0,0,0,217.037299676303,0,0,0,0,0,238.534537820057,0,0,0,0,0,0,0,0,0
gene 91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.954862038382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.656943393881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 92,0,0,0,0,0,0,0,0,0,0,542.516765082743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.180312356396,0,223.055694599317,0,0,0,0,0,0,0,0,310.256666813035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.896936099827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 93,0,245.973138773697,287.130979305059,0,0,349.232509363034,0,0,274.128785320885,0,0,188.503031074248,0,371.738969547604,0,0,144.636619570738,0,191.626668891664,0,0,147.597149925969,0,0,238.176795919776,168.828053561003,312.641804784015,0,252.067421263456,228.460355860848,128.216808789051,0,0,0,0,0,350.21306041997,365.551312096316,251.092562498153,0,195.252121409941,181.535810211439,0,167.822677815762,269.614286615497,0,0,195.180806352834,456.878721991386,0,0,450.792387505494,0,0,298.26039064659,0,0,180.200185903583,0,0,0,0,0,357.519339338414,253.055616083811,0,0,0,266.451964712608,0,326.642350846685,0,0,0,161.843100571576,0,0,327.014117593673,199.26131680459,0,0,302.320295244679,0
gene 94,0,0,360.43181136912,0,0,0,0,0,0,444.516178005133,0,0,0,0,0,0,0,0,0,0,0,221.609958698346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.372755641253,0,0,0,0,195.180806352834,0,0,0,0,0,0,194.940991154112,0,0,0,311.712687682785,0,0,0,365.440493051789,0,0,0,0,0,0,0,0,0,0,400.932562679585,221.180665707808,0,0,0,0,0,0,0,0
gene 95,198.230550020921,0,0,0,313.237727717841,0,0,410.798113809096,0,0,0,0,0,0,0,0,266.513330267257,0,0,162.445201571458,0,0,0,0,238.176795919776,0,0,0,0,0,0,0,0,0,0,0,0,0,196.261139846616,301.722618234519,247.723341195641,0,0,0,0,0,0,0,315.97103103233,163.774078233922,0,0,0,0,0,0,0,0,0,0,0,205.896936099827,613.324851983411,0,0,0,220.219652384387,0,217.181389128346,0,265.724161762501,0,0,0,161.843100571576,0,0,0,0,0,0,0,194.789087961852
gene 96,0,0,0,0,0,0,0,0,274.128785320885,705.272069751369,0,0,0,0,0,375.92527222367,0,0,0,252.563260644971,0,0,206.886903175554,0,0,215.509359908345,0,0,0,0,0,0,223.055694599317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.159359970651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.368674118141,302.320295244679,194.789087961852
gene 97,198.230550020921,189.793207259923,360.43181136912,605.988868513939,0,0,0,410.798113809096,274.128785320885,0,0,0,208.904495595251,0,0,375.92527222367,0,264.281080036598,216.613248748589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.261139846616,0,0,0,0,0,211.306972881006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.569586456684,0,0,0,0,0,238.534537820057,0,0,0,0,156.468681569191,0,0,0,0
gene 98,253.137488832488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.282417000016,147.597149925969,0,0,0,0,0,0,0,281.42156098428,0,0,0,379.698859363095,0,0,0,0,0,0,247.723341195641,181.535810211439,0,0,391.715967266549,0,0,246.964392019273,0,0,0,0,0,0,0,299.043246724718,0,0,311.712687682785,0,0,0,0,0,0,0,0,0,217.181389128346,323.22463149049,0,0,0,295.345083688609,0,0,0,293.015940760214,0,0,0,0,0
gene 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.715967266549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.639165860962,0,0,0,0,0,0,0,0
gene100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.252121409941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.001881986979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene101,0,245.973138773697,360.43181136912,0,0,0,229.982515570014,456.691533223252,350.95318333439,0,459.706113037734,188.503031074248,208.904495595251,371.738969547604,296.943534887247,0,190.01780511454,264.281080036598,150.223262699853,252.563260644971,153.437145985105,221.609958698346,0,277.282158149031,0,215.509359908345,312.641804784015,0,0,228.460355860848,0,338.869408770274,223.055694599317,278.971438037384,0,0,0,445.659100419561,0,0,0,181.535810211439,187.534920913167,216.096901384542,211.306972881006,0,176.322479597547,0,315.97103103233,163.774078233922,216.512308960418,0,0,0,0,220.829097576407,201.844752993538,136.61519196367,224.978831516386,0,277.085048909376,0,365.440493051789,0,0,198.795821271718,220.219652384387,273.569586456684,217.181389128346,0,0,0,0,0,187.662905916879,182.694642578873,326.292296770769,236.079823293688,0,515.627533393504,247.368674118141,377.287167207512,194.789087961852
gene102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.455389943734,0,0,0,0,0,500.884676050943,0,349.31510375085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene103,198.230550020921,0,0,0,0,0,0,333.729326977727,274.128785320885,572.213505539674,0,0,0,0,0,0,144.636619570738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.829097576407,0,0,0,0,0,0,365.440493051789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene104,0,0,360.43181136912,0,0,0,0,0,0,0,0,146.722429446298,0,0,0,0,0,0,0,279.804807946087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.535810211439,0,0,211.306972881006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.569586456684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene106,198.230550020921,0,0,583.061055689709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.055694599317,0,0,0,0,365.551312096316,0,0,0,0,0,0,269.614286615497,0,0,195.180806352834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.789377098837,300.992019998289,0,0,0,0,265.724161762501,0,0,0,0,0,0,293.015940760214,0,0,0,0,0
gene107,286.288682211242,0,360.43181136912,468.668280130982,0,0,229.982515570014,0,0,0,0,267.792103701006,0,0,208.461323100732,0,217.789692268115,264.281080036598,150.223262699853,162.445201571458,242.939708293624,0,206.886903175554,0,0,0,0,283.291332034024,221.084704463783,0,0,0,0,427.417289939841,0,330.711278980325,0,0,0,177.276104483276,195.252121409941,181.535810211439,0,0,0,270.738447875189,176.322479597547,0,315.97103103233,231.735399839764,0,366.956674384658,466.487775254339,0,245.804797896866,336.052704526512,0,0,0,313.508684754421,0,205.896936099827,0,357.519339338414,0,317.855595922114,285.49296902178,217.037299676303,0,0,0,318.378802497965,0,0,206.429384832784,0,513.545095183606,0,199.26131680459,424.092724655954,0,0,0
gene108,0,138.12489886743,0,0,0,0,0,0,0,0,0,188.503031074248,333.429294821152,0,0,0,217.789692268115,264.281080036598,0,0,153.437145985105,0,328.48316446529,0,0,0,0,0,0,0,187.945897675754,0,0,0,0,0,0,0,196.261139846616,0,247.723341195641,0,0,266.405780421956,211.306972881006,0,176.322479597547,0,0,163.774078233922,0,0,586.178204129475,0,0,0,201.844752993538,180.200185903583,311.712687682785,0,277.085048909376,0,0,0,0,0,325.174671720971,217.037299676303,0,0,0,318.378802497965,0,238.534537820057,0,0,0,236.079823293688,0,0,247.368674118141,0,194.789087961852
gene109,0,0,0,0,0,0,0,0,0,0,0,0,208.904495595251,0,0,0,0,0,0,252.563260644971,153.437145985105,0,0,0,0,0,0,0,0,0,0,0,312.729365423446,278.971438037384,0,241.445483016068,0,0,0,0,247.723341195641,0,0,0,0,0,0,0,315.97103103233,0,0,0,0,0,0,0,0,226.261309805361,0,0,0,0,0,0,0,198.795821271718,0,0,0,0,0,0,0,0,0,0,0,0,0,424.092724655954,0,0,0
gene110,0,0,0,0,313.237727717841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.390054246456,0,0,0,0,0,0,0,0,0,223.055694599317,0,0,241.445483016068,0,0,0,0,0,0,0,0,0,0,176.322479597547,0,0,0,0,0,0,0,0,0,0,0,279.283797089513,0,0,0,0,0,0,0,0,0,295.761405056592,0,0,0,0,0,0,0,0,0,0,0,247.368674118141,0,0
